Congratulations @TigerWoods - you are truly one of a kind! https://t.co/B6YpeLZilo
RT @DailyCaller: Trump Cuts Off States From Skimming Medicaid Payments For Big Labor https://t.co/nWI8A8tomB
"RT @DailyCaller: April Jobs Report: 263,000 Jobs Added, Unemployment At 3.6 Percent https://t.co/ham2RwREKA"
Mike has been a fantastic Senator! https://t.co/WKSAfbeARz
"How can it be possible that James Woods (and many others), a strong but responsible Conservative Voice, is banned f… https://t.co/qfpvnVFnp3"
"Today, May 4th - is International Firefighters Day! We remember all of those who put their lives on the line to sav… https://t.co/wETb2ySOYO"
"RT @IvankaTrump: The last time the unemployment rate was this low we were about to land for the first time on the moon! 

Happy April #Jobs…"
RT @anshulblp1996: @realDonaldTrump https://t.co/JE35yONsry
"RT @TrumpStudents: @realDonaldTrump With President Trump leading us, America is a BETTER and SAFER place🇺🇸"
"RT @charliekirk11: BOOM:

Despite horrendous media treatment coverage Trump stands at 51% approval rating!

They tried to defame him

They…"
RT @WhiteHouse: We're killing it on the economy! 🔥 https://t.co/hme0eihP9c
Very good call yesterday with President Putin of Russia. Tremendous potential for a good/great relationship with Ru… https://t.co/tj7NSGgnrq
"Anything in this very interesting world is possible, but I believe that Kim Jong Un fully realizes the great econom… https://t.co/0AzB6a4W54"
RT @realDonaldTrump: So great to watch this! https://t.co/pYoiLjM0pz
When will the Radical Left Wing Media apologize to me for knowingly getting the Russia Collusion Delusion story so… https://t.co/O3oT1YjvMd
"RT @PrisonPlanet: “Dangerous”.

My opinions?

Or giving a handful of giant partisan corporations the power to decide who has free speech?…"
"RT @iheartmindy: So James Woods was kicked off Twitter for quoting Ralph Waldo Emerson...but @TalbertSwan the racist fake man of God, that’…"
RT @Lauren_Southern: Lmao at establishment conservatives who think they won’t be labeled the new “dangerous” / “extremist” voices when thos…
RT @JeremyDBoreing: Those suggesting Facebook can ban anyone for any reason because they are a private company do not understand the platfo…
"RT @SharylAttkisson: When did we decide, as Americans, that it's ok fo govt &amp; 3d parties to censor/ curate our info? That we cannot be trus…"
"RT @SharylAttkisson: When did we quit teaching/understanding that free speech means protecting the distasteful, lest we open the door for g…"
RT @PrisonPlanet: The support for me has been incredible. This could actually lead to some genuine change. Keep up the pressure. Don't let…
RT @EricTrump: Great being with the team at @TrumpGolfPhilly! Such an unbelievable course and property! This is truly one of #TomFazios gre…
RT @DeepStateExpose: Retweet: The 'elite' proclaim America must submit to Islam or else!!! #Trump2020 https://t.co/SK91xliCUQ
So great to watch this! https://t.co/pYoiLjM0pz
"There is nothing easy about a USA Infrastructure Plan, especially when our great Country has spent an astounding 7… https://t.co/u5b49dP33M"
RT @DevinNunes: Perhaps the best @ChuckGrassley clip of all time... https://t.co/aMzUz516Dn
“They wanted to know what Trump was up to with the Russians - which of course is nonsense. This whole thing was a c… https://t.co/tuBP1ddCwG
"As the great people of IA, IL, &amp; MO continue to confront the devastating flooding, know we are here for you and rea… https://t.co/q6vnHMgSdU"
"So surprised to see Conservative thinkers like James Woods banned from Twitter, and Paul Watson banned from Faceboo… https://t.co/xfHQj31ZD3"
The wonderful Diamond and Silk have been treated so horribly by Facebook. They work so hard and what has been done… https://t.co/dtJx145P2i
I am continuing to monitor the censorship of AMERICAN CITIZENS on social media platforms. This is the United States… https://t.co/hzEsDBB8Hf
The International Association of Firefighters Union is rebelling on their very foolish leader. Perhaps they will vo… https://t.co/kAca0xs0qx
RT @WhiteHouse: President Trump welcomed Prime Minister Peter Pellegrini of the Slovak Republic for his first visit in the Oval Office toda…
Fred Keller of the Great State of Pennsylvania has been an outstanding State Rep. Now he is running as the Republic… https://t.co/pdn4wwjWE1
"....We discussed Trade, Venezuela, Ukraine, North Korea, Nuclear Arms Control and even the “Russian Hoax.” Very productive talk!"
"Had a long and very good conversation with President Putin of Russia. As I have always said, long before the Witch… https://t.co/TAlzmvxATK"
We can all agree that AMERICA is now #1. We are the ENVY of the WORLD — and the best is yet to come! https://t.co/Uc81DzHbu2
"“The U.S. Created 263,000 Jobs in April, Unemployment Fell to Lowest Level Since 1969” https://t.co/TtQy5yJDku"
"JOBS, JOBS, JOBS!

“Jobs surge in April, unemployment rate falls to the lowest since 1969” https://t.co/4DGpumMISf"
"Finally, Mainstream Media is getting involved - too “hot” to avoid. Pulitzer Prize anyone? The New York Times, on f… https://t.co/czGr58wFyE"
"RT @MariaBartiromo: ""I will declassify soon"" - @POTUS @realDonaldTrump @FoxNews @FoxBusiness"
RT @MariaBartiromo: This will become an imp &amp; bigger story going into #2020 ⁦@GOPLeader⁩ ⁦@realDonaldTrump⁩ ⁦@MorningsMaria⁩ ⁦@FoxBusiness⁩…
"RT @WhiteHouse: President @realDonaldTrump is fixing American trade to bring our steel and manufacturing jobs back HOME!

https://t.co/PjD6…"
"RT @WhiteHouse: Happy National Space Day! 🚀 

America is the best in space, and President @realDonaldTrump is making sure no other country…"
...at every turn in attempts to gain access. But now Republicans and Democrats must come together for the good of t… https://t.co/tpZNI3lnmS
"OK, so after two years of hard work and each party trying their best to make the other party look as bad as possibl… https://t.co/JCd8xaYf38"
"Thank you, working hard! #MAGA https://t.co/jwsb75t0WW"
Proclamation on Days of Remembrance of Victims of the Holocaust: https://t.co/l5nVFKI9fr https://t.co/vGPOelEesM
Congrats to @U_S_Steel for investing $1+ BILLION in America's most INNOVATIVE steel mill. 232 Tariffs make Pennsylv… https://t.co/RdQ6sBir9S
"On this day of prayer, we once again place our hopes in the hands of our Creator. We give thanks for this wondrous… https://t.co/0cU86dpdo3"
"As we unite on this day of prayer, we renew our resolve to protect communities of faith – and ensure that ALL of ou… https://t.co/WIpxyuCl4f"
....and deregulation which have produced non-inflationary prosperity for all Americans. I’ve asked Steve to work wi… https://t.co/rlKcWkEpMj
"Steve Moore, a great pro-growth economist and a truly fine person, has decided to withdraw from the Fed process. St… https://t.co/NZ04QwAFg9"
"RT @ByronYork: I understand the talk about Mueller not deciding on Trump obstruction. But he did decide, didn't he? If you're investigated…"
"RT @kenvogel: NEW: The BIDENS are entangled in a Ukrainian corruption scandal:
@JoeBiden pushed Ukraine to fire a prosecutor seen as corrup…"
"RT @RichLowry: NR’s editorial:

“Not for the first time, or we expect, the last, Bill Barr’s critics are demonstrating their lack of judgme…"
"""The Mueller Witch Hunt is completely OVER!"" @SeanHannity https://t.co/bE13T2Kt48"
The Collusion Delusion is OVER! https://t.co/sRnHoDmzFJ
I am continuing to monitor the situation in Venezuela very closely. The United States stands with the People of Ven… https://t.co/37n54A0sFo
https://t.co/S34Q0NY6Ju
RT @JudicialWatch: JW President @TomFitton: “Obama allowed his DOJ &amp; FBI to spy on @realDonaldTrump. That’s the scandal of our generation &amp;…
"RT @JudicialWatch: .@TomFitton discusses that “Obama, Biden, Clinton, Susan Rice, the DNC, John Brennan, Comey, Clapper, Kerry, McCabe, Lor…"
RT @JudicialWatch: JW President @TomFitton appeared on “Hannity” to discuss the Deep State coup effort against @realDonaldTrump : “The DNC…
RT @JudicialWatch: Judicial Watch announced it received 756 pages of newly uncovered emails that were among the materials former Secretary…
RT @JudicialWatch: JW announced that it filed a FOIA lawsuit against the DOJ for records of communications and payments between the FBI &amp; f…
RT @TomFitton: .@JudicialWatch FOIA disclosures help lead to criminal referral on Russiagate targeting of @realDonaldTrump. https://t.co/aS…
RT @TomFitton: BREAKING: Obama knew -- FBI admits it found Clinton Emails in Obama WH! PLUS @JudicialWatch is already investigating the inv…
"RT @marklevinshow: Audience to CNN, adios
https://t.co/JvQy4oTfNj"
RT @EricTrump: .@CNN you might want to rethink your narrative - clearly people don’t like your message. Truly shocking to me that any of yo…
"RT @EricTrump: The Democratic Party has no message, accomplishments or leadership so all they do is harass my father &amp; our family. Congress…"
"RT @michi83: Barr: Was my letter inaccurate?

Mueller: No.

Barr: Was the media coverage of my letter inaccurate?

Mueller: Yes."
RT @aldresser: As a Phoenix firefighter  and member of the IAFF I was surprised and pleased to learn that the only money that goes to feder…
"NO COLLUSION, NO OBSTRUCTION. Besides, how can you have Obstruction when not only was there No Collusion (by Trump)… https://t.co/i9Upg5zEVE"
Why didn’t President Obama do something about Russia in September (before November Election) when told by the FBI?… https://t.co/uze56bgMY2
"Congress must change the Immigration Laws now, Dems won’t act. Wall is being built - 400 miles by end of next year.… https://t.co/Uf8ROQK2ys"
"“No President in history has endured such vicious personal attacks by political opponents. Still, the President’s r… https://t.co/ggPAZWkqbn"
Gallup Poll: 56% of Americans rate their financial situation as excellent or good. This is the highest number since… https://t.co/shw5rCYkIs
"I am overriding the Decommission Order of the magnificent aircraft carrier Harry S. Truman, built in 1998 (fairly n… https://t.co/1v3Rv3csjZ"
"“The Democrats can’t come to grips with the fact that there was No Collusion, there was No Conspiracy, there was No… https://t.co/VhDOammML9"
RT @saulpavsr: @dbongino I cannot wait to vote for the greatest president ever
"RT @ScottBepler: @dbongino 24 years plus firefighter here,&amp; there’s no chance Biden is my choice. #NoMoJoe  Actually, no one on the left ha…"
RT @Jrag19601: @dbongino The ONLY reason why Joe Biden is able to get into this race is he knows for a fact that the democrat media will ne…
RT @BIGGeorgeAZ: @dbongino Nope not me either. I’m not voting for crazy Joe. My support is behind @realDonaldTrump in 2020!
RT @gr84u2c: @dbongino @DebbieB1230 Lousy choice
RT @TheDJDaniel01: @dbongino Why would any firefighter of service vote for him? @realDonaldTrump is the way to go.
"RT @tedbartley: @dbongino As a retired Firefighter, I can only speak for my fellow retirees,and I can assure you NONE of us support him,OR…"
RT @OmastaSkip: @dbongino As a retired FF I know that the majority of the rank and file are conservative or moderate and DO NOT support lib…
RT @mr36561: @dbongino Stick in the eye by union...Trump has worked very hard for our first responders and union members...fighting very ha…
RT @kshaferus: @dbongino This statement is like so many others—liberal lies. Why would the military or emergency workers support a candidat…
"RT @harrypeterson_: @dbongino It doesn’t matter who they endorse, the only person winning in 2020 is President Trump!"
"RT @RealDanKida: @dbongino The Unions have become Corporations representing themselves, Our President represents the people. #MAGA @realDon…"
RT @flamingoHeels: @dbongino Joe Biden is not even his party’s candidate yet. Firemen 🚒 can’t say they endorse him. He may not even be on b…
RT @KRobbio: @dbongino He used there dues when they  support trump
RT @blinddog007: @dbongino I know  the police officers Union is backing Donald Trump...I back the blue #bluelivesmatter
RT @firemanbrawls: @dbongino I know a couple in my department. Granted I am in Alabama but most of the firefighters I talk to are voting @r…
RT @JCryptoseed: @dbongino Never Supporting a Fireman's Ball again...
RT @chrisgogarty: @dbongino Add me to your list Dan. I am furious that the board would make such an announcement without even taking the me…
RT @VanhortonM: @dbongino Smoke and mirrors Biden.
RT @GWKohn1: @dbongino None of the MEN I know are either.
RT @Scooter172: @dbongino The fire fighters union bosses are endorsing a failure.
RT @BradyBbum1957: @dbongino When the union backs you but the people in the union don’t
RT @mw_canterbury: @dbongino This is why more lawsuits are going to presented by union members because of misrepresentation by the top eche…
RT @Steverefresh: @dbongino They will take union dues from trump voters and give to creepy though
RT @broncolee70: @dbongino @KurtSchlichter That’s why I am not in the IFFA. Don’t want my $$$ going to dems
RT @23Mcguire: @dbongino Not 🙋🏻‍♂️nor my brother
RT @CurtisVincent5: @dbongino This firefighter won’t be voting for creepy @JoeBiden
RT @Kimberl40855897: @dbongino The rank and file know who has their back and remember no one knows who you vote for !
RT @LisaLimaaa: @dbongino Shouldn't the fireman have a say?
RT @HikeAmerica440: @dbongino None that I know of in my home town either
RT @clintwelborn1: @dbongino Happy im not a member of IAFF anymore
"RT @JoanWil57769727: @dbongino Well there could be a small group of Obama people, anyone in his right mind would not support Joe Biden"
RT @Bones_zoom: @dbongino He has NO chance.
"RT @cmd629: @dbongino Yea right, until they get in the voting booth!"
"RT @JeffNeely11: @dbongino No, we don't support Crazy Joe!! And our members in our Local are up in arms!"
RT @bobahide: @dbongino Not I
RT @JeffreyKStewart: @dbongino Just the union leadership supports Biden. Members support Trump. This applies to most unions.
RT @Korryb: @dbongino I certainly won't be voting for this guy!
"RT @woofeous: @dbongino ""Over Charging Union Dues Alert"". Dan, how about Union leadership opening up books to own members since they have s…"
"RT @mscrosswi: @dbongino Nowhere have I heard the firefighters were supporting Joe Biden. The leadership of the firefighters union, on the…"
"RT @wadar1969: @dbongino The union bureaucrats endorse him but the due paying members don’t, and they wonder why unions are getting smaller…"
RT @JA_Loans: @dbongino Does he know 90% of the Firemen’s retirement is dependent on the US Economy and invested in US Stock? Do not think…
"RT @CwElliott2: @dbongino You are correct, 100%, Dan.  A bunch of us have been talking, and this is just the DNC buying and paying for the…"
RT @G4TTO21: @dbongino My father is a fireman and his entire firehouse loves Trump
RT @jcoreybates: @dbongino 👈🏼 This career firefighter will not be voting for any Democrat on the ticket. I will be voting for @POTUS again.
RT @JimmyMac233: @dbongino Agreed Dan. NYC FD inions haven’t made a peep but the known rank and file are Trump guys.
RT @mitchraider60: @dbongino How any firefighter in NY can support any Dem is disgusting after DiBlasio went to the G2 last year to rip our…
RT @TheKevinNash61: @dbongino None.  We are all pissed about this.  I have withdrawn my support for firePAC
RT @OrzechEd: @dbongino Im a firefighter and im NOT voting for Joe.
RT @ro18007212: @dbongino I have fire fighter friends and they support Trump.
RT @dpparadis123: @dbongino My neighbor is a fireman and he loves trump
"I’ve done more for Firefighters than this dues sucking union will ever do, and I get paid ZERO! https://t.co/Tw0qwTiUD6"
"Today, it was my great honor to welcome and host the 2018 @NASCAR Cup Series Champion, @JoeyLogano and @Team_Penske… https://t.co/bCZXhMXAgm"
"....embargo, together with highest-level sanctions, will be placed on the island of Cuba. Hopefully, all Cuban sold… https://t.co/szQXO8tcKQ"
If Cuban Troops and Militia do not immediately CEASE military and other operations for the purpose of causing death… https://t.co/EN89wl3N3B
"CONGRATULATIONS to the 2018 @NASCAR Cup Series Champion, @JoeyLogano! https://t.co/uHGTUVyRIC"
I am monitoring the situation in Venezuela very closely. The United States stands with the People of Venezuela and their Freedom!
"....up like a rocket if we did some lowering of rates, like one point, and some quantitative easing. Yes, we are do… https://t.co/lT7N8ftcv6"
China is adding great stimulus to its economy while at the same time keeping interest rates low. Our Federal Reserv… https://t.co/axvZhS9YOJ
"....European countries are not helping at all, even though this was very much done for their benefit. They are refu… https://t.co/8jyZf3iVeD"
"We have 1,800 ISIS Prisoners taken hostage in our final battles to destroy 100% of the Caliphate in Syria. Decision… https://t.co/I98TKmTOWe"
"If the Democrats don’t give us the votes to change our weak, ineffective and dangerous Immigration Laws, we must fi… https://t.co/eApJEg7guP"
The Coyotes and Drug Cartels are in total control of the Mexico side of the Southern Border. They have labs nearby… https://t.co/HO4ZxFeV1J
Pittsburgh jobless rate hits lowest point since the early 1970s (maybe even better than that) and Sleepy Joe just h… https://t.co/Ya0N604gTy
"RT @BaylorWBB: Thank you to @realDonaldTrump and the @WhiteHouse staff for a great experience for the Lady Bears!
#SicEm https://t.co/SR7no…"
"The New York Times has apologized for the terrible Anti-Semitic Cartoon, but they haven’t apologized to me for this… https://t.co/iJVOWLQmcN"
"Bob Mueller was a great HERO to the Radical Left Democrats. Now that the Mueller Report is finished, with a finding… https://t.co/hhplH2vVL5"
"The Dues Sucking firefighters leadership will always support Democrats, even though the membership wants me. Some things never change!"
Sleepy Joe Biden is having his first rally in the Great State of Pennsylvania. He obviously doesn’t know that Penns… https://t.co/Cji5mI3fqf
"The Media (Fake News) is pushing Sleepy Joe hard. Funny, I’m only here because of Biden &amp; Obama. They didn’t do the… https://t.co/PoWdDi6ZWL"
"I’ll never get the support of Dues Crazy union leadership, those people who rip-off their membership with ridiculou… https://t.co/CynA73dCT2"
"....People are fleeing New York State because of high taxes and yes, even oppression of sorts. They didn’t even put… https://t.co/eDYh8K4ZEz"
"The NRA is under siege by Cuomo and the New York State A.G., who are illegally using the State’s legal apparatus to… https://t.co/nedGuMs3cb"
"I spoke at length yesterday to Rabbi Yisroel Goldstein, Chabad  of Poway, where I extended my warmest condolences t… https://t.co/mA474nwRaa"
Will be interviewed by @MariaBartiromo on @FoxNews at 10:00 AM. Talking about the Southern Border and how the Dems… https://t.co/EXgUrajAUD
RT @AbeShinzo: 昨日の首脳会談、4人だけの夕食会、そして本日のゴルフと、トランプ大統領と10時間以上を共に過ごすなかで、北朝鮮問題への対応、経済、G20大阪サミット、更には世界情勢に至るまで、様々な課題についてじっくりと話をすることができました。 https://…
"....for the more traditional, but not very bright, Sleepy Joe Biden. Here we go again Bernie, but this time please… https://t.co/AOjM2OJmJr"
